# ,Distance (cm) (ELET3405 Device) ,Distance (cm) (Standard Device) ,Capacitance (uF) (ELET3405 Device) ,Capacitance(pF) (Standard Device) 
1,10.75,10,9.67,10
2,22.13,20,16.07,15
3,31.71,30,22.63,22
4,37.95,40,34.03,33
5,45.81,50,45.27,47
6,61.8,60,107.5,100
7,65.96,70,113.45,120
8,80.16,80,126.58,130
9,90.09,90,145.91,150
10,106.24,100,182.86,180
11,109.79,110,230.92,220
12,118.38,120,322.49,330
13,130.8,130,449.93,470
14,145.88,140,585.83,560
15,147.27,150,630.67,680
16,157.57,160,780.35,750
17,164.87,170,800.02,820
18,176.39,180,1100.78,1000
19,183.82,190,1700.84,1500
20,195.05,200,2300.89,2000
